"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 05 10:54:10 GMT 2025","Fri Sep 05 10:54:10 GMT 2025","2","","io.reflectoring.library.books.BookServiceTest","","io.reflectoring.library.books.BookServiceTest","getBooks","getBooks()",""
"passed","Fri Sep 05 10:54:10 GMT 2025","Fri Sep 05 10:54:10 GMT 2025","2","","io.reflectoring.library.books.BookServiceTest","","io.reflectoring.library.books.BookServiceTest","addNewBook","addNewBook()",""
"passed","Fri Sep 05 10:54:10 GMT 2025","Fri Sep 05 10:54:10 GMT 2025","2","","io.reflectoring.library.books.BorrowedBooksControllerTest","","io.reflectoring.library.books.BorrowedBooksControllerTest","getBorrowedBooks","getBorrowedBooks()",""
"failed","Fri Sep 05 10:54:10 GMT 2025","Fri Sep 05 10:54:10 GMT 2025","40","","io.reflectoring.library.LibraryApplicationTest","","io.reflectoring.library.LibraryApplicationTest","testIfAllureIntegrationWorksSuccessfullyWithEnvSecrets","testIfAllureIntegrationWorksSuccessfullyWithEnvSecrets()","This is a simple test to check Allure report integration"
"passed","Fri Sep 05 10:54:10 GMT 2025","Fri Sep 05 10:54:10 GMT 2025","1","","io.reflectoring.library.books.BorrowedBooksControllerTest","","io.reflectoring.library.books.BorrowedBooksControllerTest","borrowBook","borrowBook()",""
"passed","Fri Sep 05 10:54:10 GMT 2025","Fri Sep 05 10:54:10 GMT 2025","3","","io.reflectoring.library.books.BookServiceTest","","io.reflectoring.library.books.BookServiceTest","deleteBook","deleteBook()",""
"passed","Fri Sep 05 10:54:10 GMT 2025","Fri Sep 05 10:54:10 GMT 2025","1","","io.reflectoring.library.books.BorrowedBooksControllerTest","","io.reflectoring.library.books.BorrowedBooksControllerTest","extendBook","extendBook()",""
"passed","Fri Sep 05 10:54:10 GMT 2025","Fri Sep 05 10:54:10 GMT 2025","4","","io.reflectoring.library.books.BorrowedBooksControllerTest","","io.reflectoring.library.books.BorrowedBooksControllerTest","deleteBookFromBorrowed","deleteBookFromBorrowed()",""
"passed","Fri Sep 05 10:43:47 GMT 2025","Fri Sep 05 10:43:47 GMT 2025","90","","io.reflectoring.library.LibraryApplicationTest","","io.reflectoring.library.LibraryApplicationTest","testIfAllureIntegrationWorksSuccessfully","testIfAllureIntegrationWorksSuccessfully()","This is a simple test to check Allure report integration"
