"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 30 13:09:15 GMT 2025","Sat Aug 30 13:09:15 GMT 2025","4","","io.reflectoring.library.books.BookServiceTest","","io.reflectoring.library.books.BookServiceTest","deleteBook","deleteBook()",""
"passed","Sat Aug 30 13:09:15 GMT 2025","Sat Aug 30 13:09:15 GMT 2025","3","","io.reflectoring.library.books.BookServiceTest","","io.reflectoring.library.books.BookServiceTest","getBooks","getBooks()",""
"passed","Sat Aug 30 13:09:15 GMT 2025","Sat Aug 30 13:09:15 GMT 2025","1","","io.reflectoring.library.books.BorrowedBooksControllerTest","","io.reflectoring.library.books.BorrowedBooksControllerTest","borrowBook","borrowBook()",""
"passed","Sat Aug 30 13:09:15 GMT 2025","Sat Aug 30 13:09:15 GMT 2025","4","","io.reflectoring.library.books.BorrowedBooksControllerTest","","io.reflectoring.library.books.BorrowedBooksControllerTest","getBorrowedBooks","getBorrowedBooks()",""
"passed","Sat Aug 30 13:09:15 GMT 2025","Sat Aug 30 13:09:15 GMT 2025","3","","io.reflectoring.library.books.BookServiceTest","","io.reflectoring.library.books.BookServiceTest","addNewBook","addNewBook()",""
"passed","Sat Aug 30 13:09:15 GMT 2025","Sat Aug 30 13:09:15 GMT 2025","3","","io.reflectoring.library.books.BorrowedBooksControllerTest","","io.reflectoring.library.books.BorrowedBooksControllerTest","extendBook","extendBook()",""
"passed","Sat Aug 30 13:09:15 GMT 2025","Sat Aug 30 13:09:15 GMT 2025","3","","io.reflectoring.library.books.BorrowedBooksControllerTest","","io.reflectoring.library.books.BorrowedBooksControllerTest","deleteBookFromBorrowed","deleteBookFromBorrowed()",""
"failed","Sat Aug 30 13:09:15 GMT 2025","Sat Aug 30 13:09:15 GMT 2025","33","","io.reflectoring.library.LibraryApplicationTest","","io.reflectoring.library.LibraryApplicationTest","testIfAllureIntegrationWorksSuccessfully","testIfAllureIntegrationWorksSuccessfully()","This is a simple test to check Allure report integration"
