"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Test Coverage","0","Smoke Test Feature","1","0","Smoke Test story","0"
"0","Test Coverage","0","Smoke Test Feature","1","0","Test Allure Report Attachments Story","0"
