"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This is a simple test to check Allure report integration","98","testIfAllureIntegrationWorksSuccessfully()","","Sat Sep 06 14:12:00 CEST 2025","passed","Sat Sep 06 14:12:00 CEST 2025","","io.reflectoring.library.LibraryApplicationTest","io.reflectoring.library.LibraryApplicationTest","testIfAllureIntegrationWorksSuccessfully"
"","11","TestAllureReportAttachments()","","Sat Sep 06 14:12:06 CEST 2025","passed","Sat Sep 06 14:12:06 CEST 2025","","io.reflectoring.library.LibraryApplicationTest","io.reflectoring.library.LibraryApplicationTest","TestAllureReportAttachments"
